"month","nebel_pct","gew_pct"
1,11.95,0.76
2,6.89,1.18
3,4.43,1.98
4,1.59,5.24
5,1.09,15.05
6,0.85,20.68
7,0.85,21.3
8,1.3,17.3
9,4.23,5.56
10,12.2,1.48
11,16.59,0.58
12,12.91,0.84
